nickname,title,price,url,date_only,time_only
memory_card,"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",24.85,https://www.amazon.com/SanDisk-Extreme-microSDXC-Memory-Adapter/dp/B09X7CRKRZ/ref=pd_ci_mcx_mh_mcx_views_2_image?pd_rd_w=4NJDI&content-id=amzn1.sym.15aac070-d8be-4c31-b9b5-dbe49c8bb011%3Aamzn1.symc.1065d246-0415-4243-928d-c7025bdd9a27&pf_rd_p=15aac070-d8be-4c31-b9b5-dbe49c8bb011&pf_rd_r=FJR56JFCQVH1PH7MDBKT&pd_rd_wg=bxSnf&pd_rd_r=b876ea34-7035-470f-b901-998b24b03643&pd_rd_i=B09X7CRKRZ&th=1,2024-12-11,11:54:40.494401
battery,"Duracell 2032 Lithium Battery. 4 Count Pack. Child Safety Features. Compatible with Apple AirTag, Key Fob, and other devices. CR2032 Lithium 3V Cell. 2032 Battery, Lithium Coin Battery",5.69,https://www.amazon.com/Procter-Gamble-DURDL2032B4PK-Duracell-Lithium/dp/B009108SGS?pd_rd_w=A3MSh&content-id=amzn1.sym.59910fa8-b73c-408a-aa5f-d0b4e0aa42cb&pf_rd_p=59910fa8-b73c-408a-aa5f-d0b4e0aa42cb&pf_rd_r=DN67ERHCBCZDFRV6QCEN&pd_rd_wg=WoIuE&pd_rd_r=57778d12-c2c8-4f34-b7fa-3ded917e59e3&pd_rd_i=B009108SGS&psc=1&ref_=pd_bap_d_grid_rp_0_11_i,2024-12-11,11:54:44.029226
star,"Ornativity Glitter Star Tree Topper - Christmas Decorative Xmas Holiday Bethlehem Star Trees Toppers Ornament Decor (Champagne) 8""",9.99,https://www.amazon.com/Ornativity-Glitter-Star-Tree-Topper/dp/B08VWTJ241/ref=hw_24_h_dagw_c?pf_rd_p=5d2bcff0-3442-4771-86ef-c6a18eb15d57&pf_rd_r=99D96D9388TWJQEAMC4D&sr=1-9-ed1fa3b8-cddd-49a9-b93b-da8178d76b33&th=1,2024-12-11,11:54:46.688121
monitor,"SAMSUNG 49"" Odyssey G93SC Series OLED Curved Gaming Monitor, 240Hz, 0.03ms, Dual QHD, DisplayHDR True Black 400, FreeSync Premium Pro, Height Adjustable Stand, 3 Year Warranty, LS49CG932SNXZA, 2023",949.99,https://www.amazon.com/SAMSUNG-DisplayHDR-FreeSync-Adjustable-LS49CG932SNXZA/dp/B0CDQMQQS2/?_encoding=UTF8&pd_rd_w=ZhFjh&content-id=amzn1.sym.28e04699-107d-44b8-b72c-e03dbc4d8de4&pf_rd_p=28e04699-107d-44b8-b72c-e03dbc4d8de4&pf_rd_r=WNGCJ2PC9ME54KBJ53BM&pd_rd_wg=lY28R&pd_rd_r=b7a13c96-d8f2-4662-a46a-928d9857298d&ref_=pd_hp_d_atf_dealz_sv&th=1,2024-12-11,11:54:49.830039
memory_card,"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",24.85,https://www.amazon.com/SanDisk-Extreme-microSDXC-Memory-Adapter/dp/B09X7CRKRZ/ref=pd_ci_mcx_mh_mcx_views_2_image?pd_rd_w=4NJDI&content-id=amzn1.sym.15aac070-d8be-4c31-b9b5-dbe49c8bb011%3Aamzn1.symc.1065d246-0415-4243-928d-c7025bdd9a27&pf_rd_p=15aac070-d8be-4c31-b9b5-dbe49c8bb011&pf_rd_r=FJR56JFCQVH1PH7MDBKT&pd_rd_wg=bxSnf&pd_rd_r=b876ea34-7035-470f-b901-998b24b03643&pd_rd_i=B09X7CRKRZ&th=1,2024-12-11,12:02:03.534824
battery,"Duracell 2032 Lithium Battery. 4 Count Pack. Child Safety Features. Compatible with Apple AirTag, Key Fob, and other devices. CR2032 Lithium 3V Cell. 2032 Battery, Lithium Coin Battery",5.69,https://www.amazon.com/Procter-Gamble-DURDL2032B4PK-Duracell-Lithium/dp/B009108SGS?pd_rd_w=A3MSh&content-id=amzn1.sym.59910fa8-b73c-408a-aa5f-d0b4e0aa42cb&pf_rd_p=59910fa8-b73c-408a-aa5f-d0b4e0aa42cb&pf_rd_r=DN67ERHCBCZDFRV6QCEN&pd_rd_wg=WoIuE&pd_rd_r=57778d12-c2c8-4f34-b7fa-3ded917e59e3&pd_rd_i=B009108SGS&psc=1&ref_=pd_bap_d_grid_rp_0_11_i,2024-12-11,12:02:07.007050
star,"Ornativity Glitter Star Tree Topper - Christmas Decorative Xmas Holiday Bethlehem Star Trees Toppers Ornament Decor (Champagne) 8""",9.99,https://www.amazon.com/Ornativity-Glitter-Star-Tree-Topper/dp/B08VWTJ241/ref=hw_24_h_dagw_c?pf_rd_p=5d2bcff0-3442-4771-86ef-c6a18eb15d57&pf_rd_r=99D96D9388TWJQEAMC4D&sr=1-9-ed1fa3b8-cddd-49a9-b93b-da8178d76b33&th=1,2024-12-11,12:02:09.838853
monitor,"SAMSUNG 49"" Odyssey G93SC Series OLED Curved Gaming Monitor, 240Hz, 0.03ms, Dual QHD, DisplayHDR True Black 400, FreeSync Premium Pro, Height Adjustable Stand, 3 Year Warranty, LS49CG932SNXZA, 2023",949.99,https://www.amazon.com/SAMSUNG-DisplayHDR-FreeSync-Adjustable-LS49CG932SNXZA/dp/B0CDQMQQS2/?_encoding=UTF8&pd_rd_w=ZhFjh&content-id=amzn1.sym.28e04699-107d-44b8-b72c-e03dbc4d8de4&pf_rd_p=28e04699-107d-44b8-b72c-e03dbc4d8de4&pf_rd_r=WNGCJ2PC9ME54KBJ53BM&pd_rd_wg=lY28R&pd_rd_r=b7a13c96-d8f2-4662-a46a-928d9857298d&ref_=pd_hp_d_atf_dealz_sv&th=1,2024-12-11,12:02:12.980586
memory_card,"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",24.85,https://www.amazon.com/SanDisk-Extreme-microSDXC-Memory-Adapter/dp/B09X7CRKRZ/ref=pd_ci_mcx_mh_mcx_views_2_image?pd_rd_w=4NJDI&content-id=amzn1.sym.15aac070-d8be-4c31-b9b5-dbe49c8bb011%3Aamzn1.symc.1065d246-0415-4243-928d-c7025bdd9a27&pf_rd_p=15aac070-d8be-4c31-b9b5-dbe49c8bb011&pf_rd_r=FJR56JFCQVH1PH7MDBKT&pd_rd_wg=bxSnf&pd_rd_r=b876ea34-7035-470f-b901-998b24b03643&pd_rd_i=B09X7CRKRZ&th=1,2024-12-11,12:13:05.258090
battery,"Duracell 2032 Lithium Battery. 4 Count Pack. Child Safety Features. Compatible with Apple AirTag, Key Fob, and other devices. CR2032 Lithium 3V Cell. 2032 Battery, Lithium Coin Battery",5.69,https://www.amazon.com/Procter-Gamble-DURDL2032B4PK-Duracell-Lithium/dp/B009108SGS?pd_rd_w=A3MSh&content-id=amzn1.sym.59910fa8-b73c-408a-aa5f-d0b4e0aa42cb&pf_rd_p=59910fa8-b73c-408a-aa5f-d0b4e0aa42cb&pf_rd_r=DN67ERHCBCZDFRV6QCEN&pd_rd_wg=WoIuE&pd_rd_r=57778d12-c2c8-4f34-b7fa-3ded917e59e3&pd_rd_i=B009108SGS&psc=1&ref_=pd_bap_d_grid_rp_0_11_i,2024-12-11,12:13:08.903983
star,"Ornativity Glitter Star Tree Topper - Christmas Decorative Xmas Holiday Bethlehem Star Trees Toppers Ornament Decor (Champagne) 8""",9.99,https://www.amazon.com/Ornativity-Glitter-Star-Tree-Topper/dp/B08VWTJ241/ref=hw_24_h_dagw_c?pf_rd_p=5d2bcff0-3442-4771-86ef-c6a18eb15d57&pf_rd_r=99D96D9388TWJQEAMC4D&sr=1-9-ed1fa3b8-cddd-49a9-b93b-da8178d76b33&th=1,2024-12-11,12:13:11.596643
monitor,"SAMSUNG 49"" Odyssey G93SC Series OLED Curved Gaming Monitor, 240Hz, 0.03ms, Dual QHD, DisplayHDR True Black 400, FreeSync Premium Pro, Height Adjustable Stand, 3 Year Warranty, LS49CG932SNXZA, 2023",949.99,https://www.amazon.com/SAMSUNG-DisplayHDR-FreeSync-Adjustable-LS49CG932SNXZA/dp/B0CDQMQQS2/?_encoding=UTF8&pd_rd_w=ZhFjh&content-id=amzn1.sym.28e04699-107d-44b8-b72c-e03dbc4d8de4&pf_rd_p=28e04699-107d-44b8-b72c-e03dbc4d8de4&pf_rd_r=WNGCJ2PC9ME54KBJ53BM&pd_rd_wg=lY28R&pd_rd_r=b7a13c96-d8f2-4662-a46a-928d9857298d&ref_=pd_hp_d_atf_dealz_sv&th=1,2024-12-11,12:13:14.471337
